name,price,#search,#brand,categories,#colour,#1,#1num,#2,#2num,potential_hashtag
New Look trench coat in camel,49.99,coat,stradivarius,coats,beige,beigecoat,30000,stradivariuscoat,1600,31600
New Look trench coat in camel,49.99,coat,stradivarius,coats,beige,beigecoat,30000,stradivariuscoat,1600,31600
New Look trench coat in camel,49.99,coat,asos design,coats,beige,beigecoat,30000,asosdesigncoat,3,30003
New Look trench coat in camel,49.99,coat,new look,coats,beige,beigecoat,30000,newlookcoat,888,30888
Stradivarius double breasted wool coat in grey,59.99,coat,stradivarius,coats,grey,greycoat,36000,stradivariuscoat,1600,37600
Stradivarius double breasted wool coat in grey,59.99,coat,stradivarius,coats,grey,greycoat,36000,stradivariuscoat,1600,37600
Stradivarius double breasted wool coat in grey,59.99,coat,barneys originals,coats,grey,greycoat,36000,barneysoriginalscoat,0,36000
Stradivarius double breasted wool coat in grey,59.99,coat,stradivarius,coats,grey,greycoat,36000,stradivariuscoat,1600,37600
JDY oversized trench coat in stone,45.0,coat,asos petite,coats,grey,greycoat,36000,asospetitecoat,1,36001
JDY oversized trench coat in stone,45.0,coat,jdy,coats,grey,greycoat,36000,jdycoat,0,36000
Nike Running hooded jacket in pink,84.95,coat,topshop,coats,pink,pinkcoat,86000,topshopcoat,2600,88600
Nike Running hooded jacket in pink,84.95,coat,bershka,coats,pink,pinkcoat,86000,bershkacoat,2000,88000
Nike Running hooded jacket in pink,84.95,coat,nike running,coats,pink,pinkcoat,86000,nikerunningcoat,0,86000
ASOS DESIGN Tall linen mix trench coat in natural,75.0,coat,asos design,coats,beige,beigecoat,30000,asosdesigncoat,3,30003
ASOS DESIGN Tall linen mix trench coat in natural,75.0,coat,asos design,coats,beige,beigecoat,30000,asosdesigncoat,3,30003
ASOS DESIGN Tall linen mix trench coat in natural,75.0,coat,asos tall,coats,beige,beigecoat,30000,asostallcoat,0,30000
ASOS DESIGN Tall linen mix trench coat in natural,75.0,coat,asos curve,coats,beige,beigecoat,30000,asoscurvecoat,4,30004
ASOS DESIGN denim bomber in ecru,56.0,coat,topshop,coats,beige,beigecoat,30000,topshopcoat,2600,32600
ASOS DESIGN denim bomber in ecru,56.0,coat,jdy,coats,beige,beigecoat,30000,jdycoat,0,30000
ASOS DESIGN denim bomber in ecru,56.0,coat,asos petite,coats,beige,beigecoat,30000,asospetitecoat,1,30001
ASOS Weekend Collective nylon track jacket in neutral,40.0,coat,asos petite,coats,beige,beigecoat,30000,asospetitecoat,1,30001
ASOS Weekend Collective nylon track jacket in neutral,40.0,coat,asos petite,coats,beige,beigecoat,30000,asospetitecoat,1,30001
ASOS Weekend Collective nylon track jacket in neutral,40.0,coat,asos weekend collective,coats,beige,beigecoat,30000,asosweekendcollectivecoat,0,30000
ASOS Weekend Collective nylon track jacket in neutral,40.0,coat,new look petite,coats,beige,beigecoat,30000,newlookpetitecoat,1,30001
ASOS DESIGN Tall ultimate faux leather biker jacket in black,38.0,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
ASOS DESIGN Tall ultimate faux leather biker jacket in black,38.0,coat,new look,coats,black,blackcoat,133000,newlookcoat,888,133888
ASOS DESIGN Tall ultimate faux leather biker jacket in black,38.0,coat,asos design,coats,black,blackcoat,133000,asosdesigncoat,3,133003
ASOS DESIGN Tall ultimate faux leather biker jacket in black,38.0,coat,asos tall,coats,black,blackcoat,133000,asostallcoat,0,133000
Native Youth oversized twill shacket co-ord in purple,40.0,coat,asos curve,coats,purple,purplecoat,10000,asoscurvecoat,4,10004
Native Youth oversized twill shacket co-ord in purple,40.0,coat,barbour,coats,purple,purplecoat,10000,barbourcoat,3400,13400
Native Youth oversized twill shacket co-ord in purple,40.0,coat,native youth,coats,purple,purplecoat,10000,nativeyouthcoat,0,10000
Native Youth oversized twill shacket co-ord in purple,40.0,coat,carhartt wip,coats,purple,purplecoat,10000,carharttwipcoat,7,10007
Carhartt WIP michigan OG jacket in black,150.0,coat,native youth plus,coats,black,blackcoat,133000,nativeyouthpluscoat,0,133000
Carhartt WIP michigan OG jacket in black,150.0,coat,tommy jeans,coats,black,blackcoat,133000,tommyjeanscoat,18,133018
Carhartt WIP michigan OG jacket in black,150.0,coat,carhartt wip,coats,black,blackcoat,133000,carharttwipcoat,7,133007
Carhartt WIP michigan OG jacket in black,150.0,coat,tommy jeans,coats,black,blackcoat,133000,tommyjeanscoat,18,133018
adidas Originals slim trefoil puffer jacket in black,42.5,jacket,morgan,jackets,black,blackjacket,232000,morganjacket,87,232087
adidas Originals slim trefoil puffer jacket in black,42.5,jacket,dr denim,jackets,black,blackjacket,232000,drdenimjacket,18,232018
adidas Originals slim trefoil puffer jacket in black,42.5,jacket,adidas originals,jackets,black,blackjacket,232000,adidasoriginalsjacket,278,232278
adidas Originals slim trefoil puffer jacket in black,42.5,jacket,miss selfridge,jackets,black,blackjacket,232000,missselfridgejacket,26,232026
Columbia Puffect cropped jacket in black Exclusive at ASOS,72.0,jacket,collusion,jackets,black,blackjacket,232000,collusionjacket,19,232019
Columbia Puffect cropped jacket in black Exclusive at ASOS,72.0,jacket,asos design,jackets,black,blackjacket,232000,asosdesignjacket,0,232000
Columbia Puffect cropped jacket in black Exclusive at ASOS,72.0,jacket,asos design,jackets,black,blackjacket,232000,asosdesignjacket,0,232000
Columbia Puffect cropped jacket in black Exclusive at ASOS,72.0,jacket,columbia,jackets,black,blackjacket,232000,columbiajacket,40000,272000
ASOS DESIGN rubberised bomber rain jacket in khaki,17.5,jacket,miss selfridge,jackets,beige,beigejacket,9100,missselfridgejacket,26,9126
ASOS DESIGN rubberised bomber rain jacket in khaki,17.5,jacket,miss selfridge,jackets,beige,beigejacket,9100,missselfridgejacket,26,9126
ASOS DESIGN rubberised bomber rain jacket in khaki,17.5,jacket,asos design,jackets,beige,beigejacket,9100,asosdesignjacket,0,9100
ASOS DESIGN rubberised bomber rain jacket in khaki,17.5,jacket,asos design,jackets,beige,beigejacket,9100,asosdesignjacket,0,9100
ASOS DESIGN denim short sleeve shirt in midwash blue,30.0,coat,topshop,coats,blue,bluecoat,59000,topshopcoat,2600,61600
ASOS DESIGN denim short sleeve shirt in midwash blue,30.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
ASOS DESIGN denim short sleeve shirt in midwash blue,30.0,coat,new look,coats,blue,bluecoat,59000,newlookcoat,888,59888
ASOS DESIGN denim short sleeve shirt in midwash blue,30.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
New Look boxy gilet in camel,21.5,coat,collusion,coats,brown,browncoat,36000,collusioncoat,10,36010
New Look boxy gilet in camel,21.5,coat,asyou,coats,brown,browncoat,36000,asyoucoat,0,36000
New Look boxy gilet in camel,21.5,coat,asos design,coats,brown,browncoat,36000,asosdesigncoat,3,36003
New Look boxy gilet in camel,21.5,coat,new look,coats,brown,browncoat,36000,newlookcoat,888,36888
Bershka maxi belted coat in black,79.99,coat,new look,coats,black,blackcoat,133000,newlookcoat,888,133888
Bershka maxi belted coat in black,79.99,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
Bershka maxi belted coat in black,79.99,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
Bershka maxi belted coat in black,79.99,coat,asos design,coats,black,blackcoat,133000,asosdesigncoat,3,133003
Vero Moda trench coat in black,38.0,coat,pullbear,coats,black,blackcoat,133000,pullbearcoat,4,133004
Vero Moda trench coat in black,38.0,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
Vero Moda trench coat in black,38.0,coat,asos design,coats,black,blackcoat,133000,asosdesigncoat,3,133003
Vero Moda trench coat in black,38.0,coat,vero moda,coats,black,blackcoat,133000,veromodacoat,174,133174
Stradivarius tailored coat in beige,35.99,coat,new look,coats,beige,beigecoat,30000,newlookcoat,888,30888
Stradivarius tailored coat in beige,35.99,coat,topshop,coats,beige,beigecoat,30000,topshopcoat,2600,32600
Stradivarius tailored coat in beige,35.99,coat,asos design,coats,beige,beigecoat,30000,asosdesigncoat,3,30003
Stradivarius tailored coat in beige,35.99,coat,stradivarius,coats,beige,beigecoat,30000,stradivariuscoat,1600,31600
Stradivarius tailored belted coat in black,69.99,coat,asyou,coats,black,blackcoat,133000,asyoucoat,0,133000
Stradivarius tailored belted coat in black,69.99,coat,asos design,coats,black,blackcoat,133000,asosdesigncoat,3,133003
Stradivarius tailored belted coat in black,69.99,coat,asos curve,coats,black,blackcoat,133000,asoscurvecoat,4,133004
Stradivarius tailored belted coat in black,69.99,coat,stradivarius,coats,black,blackcoat,133000,stradivariuscoat,1600,134600
Barney's Originals Emma real leather jacket with belt,84.0,jacket,asos design,jackets,black,blackjacket,232000,asosdesignjacket,0,232000
Barney's Originals Emma real leather jacket with belt,84.0,jacket,asos design,jackets,black,blackjacket,232000,asosdesignjacket,0,232000
Barney's Originals Emma real leather jacket with belt,84.0,jacket,bershka,jackets,black,blackjacket,232000,bershkajacket,3800,235800
Barney's Originals Emma real leather jacket with belt,84.0,jacket,barneys originals,jackets,black,blackjacket,232000,barneysoriginalsjacket,0,232000
ASOS DESIGN reversible quilt lined jacket in stone and green,37.2,shacket,new look,jackets,green,greenshacket,208,newlookshacket,27,235
